category,male,female
engineer,0.9620891451835633,0.037910853140056135
editor,0.32647754065692425,0.6735224306583405
manager,0.40571330338716505,0.5942867174744606
surgeon,0.5655084252357483,0.4344915866851807
pie,0.38273323103785517,0.6172667786478996
doctor,0.6168009355664253,0.3831990510225296
junk,0.829114556312561,0.17088542580604554
jewellery,0.026719897426664828,0.9732801079750061
person,0.33880906701087954,0.6611909250418345
scientist,0.6951501727104187,0.3048498541116714
designer,0.024539943039417266,0.9754600763320923
politician,0.9618294954299926,0.03817046657204628
barbecue,0.7805858850479126,0.2194141000509262
necklace,0.32615146040916443,0.6738485366106033
judge,0.6591881096363068,0.3408118933439255
waiter,0.8375366806983948,0.1624633252620697
lawyer,0.6293979585170746,0.37060202546417714
punk,0.36662051528692247,0.6333794713020324
assistant,0.5784478187561035,0.4215521812438965
architect,0.6624793410301208,0.33752065896987915
optician,0.7360422849655152,0.26395771354436875
piercing,0.11207461804151535,0.8879253745079041
electrician,0.9299713492393493,0.07002867981791497
nerd,0.8979737043380738,0.10202630870044231
servant,0.9049995064735412,0.09500049464404584
sailor,0.319120454788208,0.6808795243501663
punch,0.3179665505886078,0.6820334196090698
printer,0.7190917015075684,0.28090831339359285
writer,0.7958582311868667,0.2041417734697461
scarf,0.13462961241602897,0.8653703451156616
musician,0.7782944321632386,0.2217055507004261
telephonist,0.49899413585662844,0.501005870103836
beer,0.9554692149162293,0.04453079737722874
painter,0.8338534593582153,0.16614653170108795
plumber,0.7384647250175476,0.26153527945280075
farmer,0.038506846874952316,0.9614931821823121
yarn,0.1912052035331726,0.8087947607040405
briefcase,0.861496877670288,0.13850310035049915
tie,0.7752186179161071,0.22478141039609909
bacon,0.15160324051976204,0.8483967483043671
aviator,0.3676368996500969,0.6323630854487419
alien,0.5788896977901459,0.4211103081703186
solicitor,0.5913786180317402,0.40862138718366625
nurse,0.0233465813100338,0.9766533970832825
singer,0.12248520031571389,0.8775147914886474
trucker,0.9426284432411194,0.057371545024216174
wine,0.4181028172373772,0.5818971958011389
chef,0.03527732286602259,0.9647226810455323
clerk,0.044127488136291505,0.9558724999427796
jeweler,0.49518888592720034,0.5048110783100128
photographer,0.819204044342041,0.18079593852162362
journalist,0.838823938369751,0.16117604300379754
purse,0.04375647976994514,0.9562435150146484
caretaker,0.8313825964927674,0.16861740369349718
helmet,0.538585215434432,0.46141480654478073
translator,0.1687817109748721,0.8312183201313019
hamburger,0.5514618635177613,0.4485381133854389
baker,0.3454437002539635,0.6545563161373138
officer,0.7946565747261047,0.20534344352781772
basketball,0.8008400201797485,0.19915999844670296
salad,0.04199299402534962,0.9580069661140442
cook,0.23462443500757219,0.7653755664825439
democrat,0.6808594822883606,0.3191405326128006
terrorist,0.6036632835865021,0.39633670151233674
attendant,0.11066130474209786,0.8893387198448182
